name ,date,ISIN ,issue date,coupon ,maturity date ,closing price ,yield to maturity 
CAN 2.25 Jun 25,2021-01-28,CA135087D507,2014-06-30,0.0225,2025-06-01,108.11,0.0036
CAN 2.25 Jun 25,2021-01-29,CA135087D507,2014-06-30,0.0225,2025-06-01,108.1,0.0036
CAN 1.5 Jun 26,2021-01-18,CA135087E679,2015-07-21,0.015,2026-06-01,105.59,0.0046
CAN 1.5 Jun 26,2021-01-19,CA135087E679,2015-07-21,0.015,2026-06-01,105.57,0.0046
CAN 1.5 Jun 26,2021-01-20,CA135087E679,2015-07-21,0.015,2026-06-01,105.51,0.0046
CAN 1.5 Jun 26,2021-01-21,CA135087E679,2015-07-21,0.015,2026-06-01,105.37,0.0046
CAN 1.5 Jun 26,2021-01-22,CA135087E679,2015-07-21,0.015,2026-06-01,105.4,0.0046
CAN 1.5 Jun 26,2021-01-25,CA135087E679,2015-07-21,0.015,2026-06-01,105.5,0.0046
CAN 1.5 Jun 26,2021-01-26,CA135087E679,2015-07-21,0.015,2026-06-01,105.47,0.0046
CAN 1.5 Jun 26,2021-01-27,CA135087E679,2015-07-21,0.015,2026-06-01,105.56,0.0046
CAN 1.5 Jun 26,2021-01-28,CA135087E679,2015-07-21,0.015,2026-06-01,105.46,0.0046
CAN 1.5 Jun 26,2021-01-29,CA135087E679,2015-07-21,0.015,2026-06-01,105.44,0.0046
CAN 1 Jun 27,2021-01-18,CA135087F825,2016-08-03,0.01,2027-06-01,102.99,0.0053
CAN 1 Jun 27,2021-01-19,CA135087F825,2016-08-03,0.01,2027-06-01,102.97,0.0053
CAN 1 Jun 27,2021-01-20,CA135087F825,2016-08-03,0.01,2027-06-01,102.89,0.0053
CAN 1 Jun 27,2021-01-21,CA135087F825,2016-08-03,0.01,2027-06-01,102.72,0.0053
CAN 1 Jun 27,2021-01-22,CA135087F825,2016-08-03,0.01,2027-06-01,102.8,0.0053
CAN 1 Jun 27,2021-01-25,CA135087F825,2016-08-03,0.01,2027-06-01,102.98,0.0053
CAN 1 Jun 27,2021-01-26,CA135087F825,2016-08-03,0.01,2027-06-01,102.91,0.0053
